iter	Passed	Remaining
147	335	1929
148	336	1923
149	338	1918
150	340	1911
151	341	1904
152	342	1897
153	344	1892
154	346	1886
155	347	1880
156	349	1874
157	350	1868
158	352	1865
159	354	1860
160	356	1856
161	357	1851
162	360	1848
163	361	1843
164	363	1839
165	365	1833
166	366	1828
167	368	1822
168	369	1817
169	371	1812
170	372	1808
171	374	1802
172	375	1797
173	377	1792
174	379	1787
175	380	1782
176	382	1777
177	383	1772
178	385	1766
179	386	1761
180	387	1753
181	389	1748
182	390	1744
183	392	1739
184	398	1754
185	399	1749
186	401	1746
187	403	1742
188	405	1737
189	406	1733
190	408	1729
191	409	1725
192	411	1721
193	413	1717
194	414	1712
195	416	1708
196	417	1703
197	419	1697
198	420	1693
199	422	1688
200	423	1683
201	424	1678
202	426	1673
203	427	1668
204	429	1663
205	430	1659
206	432	1655
207	433	1651
208	435	1648
209	436	1643
210	438	1638
211	439	1633
212	441	1629
213	442	1625
214	443	1621
215	445	1617
216	447	1613
217	448	1609
218	450	1605
219	451	1601
220	453	1596
221	454	1592
222	455	1588
223	457	1585
224	459	1581
225	460	1577
226	462	1573
227	463	1569
228	464	1565
229	466	1561
230	467	1557
231	469	1553
232	470	1549
233	472	1546
234	473	1542
235	475	1539
236	476	1535
237	478	1531
238	479	1528
239	481	1524
240	482	1520
241	484	1516
242	485	1512
243	486	1508
244	488	1504
245	490	1501
246	491	1498
247	493	1495
248	494	1492
249	496	1489
250	497	1486
251	499	1482
252	500	1478
253	502	1475
254	503	1471
255	505	1468
256	506	1465
257	508	1462
258	509	1458
259	511	1455
260	513	1452
261	514	1449
262	516	1446
263	517	1443
264	519	1440
265	520	1437
266	522	1433
267	523	1430
268	525	1427
269	526	1423
270	528	1420
271	529	1417
272	531	1415
273	533	1412
274	534	1409
275	536	1407
276	537	1404
277	539	1401
278	540	1397
279	542	1394
280	544	1392
281	545	1389
282	546	1385
283	548	1383
284	550	1380
285	551	1377
286	553	1373
287	554	1370
288	556	1368
289	557	1365
290	559	1362
291	560	1359
292	562	1357
293	564	1355
294	566	1353
295	567	1350
296	569	1348
297	571	1345
298	573	1343
299	574	1340
300	576	1338
301	577	1335
302	579	1332
303	580	1329
304	582	1327
305	583	1324
306	585	1321
307	587	1319
308	588	1317
309	590	1314
310	591	1311
311	593	1308
312	594	1305
313	596	1302
314	597	1299
315	599	1296
316	600	1293
317	601	1290
318	603	1288
319	604	1285
320	605	1281
321	607	1278
322	608	1275
323	610	1273
324	611	1270
325	613	1267
326	616	1269
327	619	1268
328	620	1266
329	622	1263
330	623	1260
331	625	1257
332	626	1254
333	627	1252
334	629	1249
335	630	1246
336	632	1243
337	633	1240
338	635	1238
339	636	1235
340	638	1233
341	639	1230
342	641	1228
343	643	1226
344	644	1223
345	646	1221
346	647	1218
347	649	1216
348	650	1213
349	652	1211
350	653	1208
351	655	1206
352	656	1203
353	658	1200
354	659	1198
355	661	1195
356	662	1193
357	663	1190
358	665	1188
359	667	1185
360	668	1183
361	670	1181
362	671	1178
363	673	1176
364	674	1174
365	676	1172
366	678	1170
367	680	1167
368	681	1165
369	683	1164
370	685	1162
371	686	1159
372	688	1157
373	690	1155
374	692	1154
375	694	1152
376	695	1149
377	697	1148
378	699	1146
379	701	1144
380	703	1142
381	704	1140
382	706	1138
383	708	1136
384	709	1134
385	711	1132
386	713	1129
387	714	1127
388	716	1124
389	717	1122
390	719	1120
391	720	1118
392	722	1115
393	723	1113
394	725	1111
395	727	1109
396	728	1106
397	730	1104
398	732	1102
399	733	1100
400	735	1099
401	737	1097
402	739	1094
403	740	1092
404	742	1091
405	744	1089
406	746	1087
407	748	1085
408	750	1083
409	751	1081
410	753	1079
411	754	1077
412	756	1075
413	758	1074
414	760	1072
415	762	1070
416	763	1067
417	765	1066
418	767	1064
419	769	1062
420	770	1060
421	772	1058
422	774	1055
423	775	1053
424	776	1051
425	778	1048
426	780	1046
427	781	1044
428	783	1042
429	784	1040
430	786	1037
431	787	1035
432	789	1033
433	790	1031
434	792	1029
435	794	1027
436	795	1024
437	796	1022
438	798	1019
439	799	1017
440	801	1015
441	802	1012
442	803	1010
443	804	1007
444	806	1005
445	807	1003
446	809	1001
447	810	998
448	812	996
449	813	994
450	815	992
451	816	990
452	818	988
453	819	986
454	821	984
455	823	982
456	824	979
457	826	977
458	827	975
459	829	973
460	830	971
461	831	968
462	833	966
463	835	964
464	836	962
465	838	960
466	839	958
467	841	956
468	842	954
469	844	952
470	845	949
471	846	947
472	848	945
473	852	945
474	853	943
475	855	941
476	857	939
477	858	937
478	860	935
479	861	933
480	863	931
481	865	929
482	866	927
483	868	925
484	870	923
485	871	921
486	873	919
487	874	917
488	876	915
489	878	913
490	879	911
491	880	909
492	882	907
493	883	905
494	885	903
495	886	900
496	887	898
497	889	896
498	890	894
499	892	892
500	893	890
501	895	888
502	897	886
503	898	884
504	900	882
505	902	880
506	903	878
507	905	876
508	907	875
509	909	873
510	910	871
511	912	869
512	914	868
513	916	866
514	918	864
515	919	862
516	921	860
517	922	858
518	924	856
519	925	854
520	926	852
521	928	850
522	929	847
523	931	845
524	932	843
525	934	841
526	935	839
527	937	838
528	939	836
529	940	834
530	942	832
531	944	830
532	946	829
533	947	826
534	949	825
535	950	823
536	952	821
537	953	818
538	955	816
539	956	814
540	957	812
541	959	810
542	960	808
543	962	806
544	963	804
545	965	802
546	966	800
547	967	798
548	969	796
549	970	794
550	971	791
551	973	789
552	974	787
553	976	785
554	977	783
555	978	781
556	980	779
557	981	777
558	983	775
559	984	773
560	985	771
561	987	769
562	988	767
563	989	765
564	991	763
565	992	761
566	994	759
567	995	757
568	997	755
569	998	753
570	1000	751
571	1001	749
572	1003	747
573	1005	745
574	1006	744
575	1008	742
576	1010	740
577	1011	738
578	1013	736
579	1014	734
580	1016	732
581	1017	731
582	1019	729
583	1020	727
584	1022	725
585	1023	723
586	1025	721
587	1027	719
588	1028	717
589	1030	715
590	1031	714
591	1033	712
592	1034	710
593	1036	708
594	1038	706
595	1039	704
596	1041	702
597	1043	701
598	1044	699
599	1046	697
600	1047	695
601	1049	693
602	1051	691
603	1052	690
604	1054	688
605	1055	686
606	1057	684
607	1058	682
608	1060	680
609	1062	679
610	1063	677
611	1065	675
612	1066	673
613	1068	671
614	1069	669
615	1071	668
616	1073	666
617	1074	664
618	1076	662
619	1077	660
620	1079	658
621	1081	657
622	1083	655
623	1089	656
624	1091	654
625	1092	652
626	1093	650
627	1095	648
628	1096	646
629	1098	644
630	1099	643
631	1101	641
632	1102	639
633	1104	637
634	1106	635
635	1107	633
636	1109	632
637	1110	630
638	1112	628
639	1114	626
640	1115	624
641	1116	622
642	1118	620
643	1119	619
644	1121	617
645	1122	615
646	1124	613
647	1125	611
648	1127	609
649	1128	607
650	1130	605
651	1131	603
652	1132	601
653	1133	599
654	1135	597
655	1136	596
656	1138	594
657	1139	592
658	1141	590
659	1142	588
660	1144	586
661	1145	584
662	1146	582
663	1148	580
664	1149	579
665	1150	577
666	1152	575
667	1153	573
668	1154	571
669	1156	569
670	1157	567
671	1158	565
672	1160	563
673	1161	561
674	1163	560
675	1164	558
676	1165	556
677	1167	554
678	1168	552
679	1170	550
680	1171	548
681	1172	546
682	1174	544
683	1175	543
684	1177	541
685	1178	539
686	1179	537
687	1181	535
688	1182	533
689	1184	532
690	1185	530
691	1187	528
692	1188	526
693	1189	524
694	1191	522
695	1192	521
696	1194	519
697	1195	517
698	1197	515
699	1198	513
700	1200	512
701	1202	510
702	1203	508
703	1204	506
704	1206	504
705	1207	502
706	1208	500
707	1209	498
708	1211	497
709	1212	495
710	1213	493
711	1215	491
712	1216	489
713	1217	487
714	1219	485
715	1220	484
716	1222	482
717	1223	480
718	1225	479
719	1227	477
720	1229	475
721	1230	473
722	1232	472
723	1233	470
724	1235	468
725	1237	466
726	1238	465
727	1240	463
728	1242	461
729	1243	459
730	1245	458
731	1246	456
732	1248	454
733	1249	452
734	1251	451
735	1253	449
736	1255	447
737	1256	446
738	1258	444
739	1260	442
740	1261	441
741	1263	439
742	1264	437
743	1266	435
744	1268	434
745	1269	432
746	1271	430
747	1272	428
748	1274	427
749	1276	425
750	1277	423
751	1279	421
752	1280	420
753	1282	418
754	1283	416
755	1285	414
756	1286	413
757	1288	411
758	1289	409
759	1291	407
760	1292	406
761	1294	404
762	1295	402
763	1297	400
764	1298	399
765	1300	397
766	1301	395
767	1303	393
768	1304	392
769	1306	390
770	1308	388
771	1309	386
772	1311	385
773	1312	383
774	1314	381
775	1315	379
776	1317	377
777	1318	376
778	1322	375
779	1323	373
780	1325	371
781	1326	369
782	1327	368
783	1329	366
784	1330	364
785	1331	362
786	1333	360
787	1334	359
788	1336	357
789	1337	355
790	1338	353
791	1340	351
792	1341	350
793	1342	348
794	1344	346
795	1345	344
796	1347	343
797	1348	341
798	1349	339
799	1351	337
800	1352	336
801	1353	334
802	1355	332
803	1356	330
804	1357	328
805	1359	327
806	1360	325
807	1361	323
808	1363	321
809	1364	320
810	1365	318
811	1367	316
812	1368	314
813	1369	313
814	1371	311
815	1372	309
816	1374	307
817	1375	305
818	1376	304
819	1377	302
820	1378	300
821	1380	298
822	1381	297
823	1382	295
824	1384	293
825	1385	291
826	1386	290
827	1388	288
828	1389	286
829	1390	284
830	1392	283
831	1393	281
832	1394	279
833	1396	277
834	1397	276
835	1398	274
836	1400	272
837	1401	271
838	1403	269
839	1404	267
840	1406	265
841	1407	264
842	1409	262
843	1410	260
844	1411	258
845	1413	257
846	1414	255
847	1416	253
848	1417	252
849	1418	250
850	1420	248
851	1421	246
852	1423	245
853	1424	243
854	1426	241
855	1427	240
856	1429	238
857	1430	236
858	1431	235
859	1433	233
860	1434	231
861	1435	229
862	1437	228
863	1438	226
864	1440	224
865	1441	223
866	1443	221
867	1445	219
868	1446	218
869	1448	216
870	1449	214
871	1450	212
872	1452	211
873	1453	209
874	1454	207
875	1456	206
876	1457	204
877	1459	202
878	1460	201
879	1461	199
880	1463	197
881	1464	195
882	1466	194
883	1467	192
884	1468	190
885	1470	189
886	1471	187
887	1472	185
888	1474	184
889	1475	182
890	1476	180
891	1478	178
892	1479	177
893	1480	175
894	1481	173
895	1482	172
896	1484	170
897	1485	168
898	1486	167
899	1488	165
900	1489	163
901	1491	162
902	1492	160
903	1493	158
904	1494	156
905	1496	155
906	1497	153
907	1498	151
908	1499	150
909	1501	148
910	1502	146
911	1503	145
912	1504	143
913	1505	141
914	1506	139
915	1508	138
916	1509	136
917	1510	134
918	1511	133
919	1513	131
920	1514	129
921	1515	128
922	1516	126
923	1517	124
924	1518	123
925	1520	121
926	1521	119
927	1522	118
928	1523	116
929	1524	114
930	1525	113
931	1526	111
932	1528	109
933	1529	108
934	1530	106
935	1532	104
936	1533	103
937	1534	101
938	1536	99
939	1537	98
940	1538	96
941	1539	94
942	1541	93
943	1542	91
944	1543	89
945	1544	88
946	1546	86
947	1547	84
948	1548	83
949	1549	81
950	1550	79
951	1552	78
952	1553	76
953	1556	75
954	1559	73
955	1560	71
956	1561	70
957	1562	68
958	1563	66
959	1565	65
960	1566	63
961	1567	61
962	1568	60
963	1569	58
964	1571	56
965	1572	55
966	1573	53
967	1574	52
968	1576	50
969	1577	48
970	1578	47
971	1579	45
972	1581	43
973	1582	42
974	1584	40
975	1585	38
976	1586	37
977	1588	35
978	1589	34
979	1590	32
980	1592	30
981	1593	29
982	1595	27
983	1596	25
984	1597	24
985	1599	22
986	1600	21
987	1601	19
988	1602	17
989	1604	16
990	1605	14
991	1606	12
992	1607	11
993	1609	9
994	1610	8
995	1611	6
996	1613	4
997	1614	3
998	1615	1
999	1616	0
